measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Malaysia,Male,Age-standardized,Headache disorders,Rate,1990,461.063291,1004.966026,86.07757782
DALYs (Disability-Adjusted Life Years),Malaysia,Female,Age-standardized,Headache disorders,Rate,1990,663.5776041,1541.737154,105.6837123
DALYs (Disability-Adjusted Life Years),Malaysia,Both,Age-standardized,Headache disorders,Rate,1990,562.016062,1264.645797,96.47532267
DALYs (Disability-Adjusted Life Years),Marshall Islands,Male,Age-standardized,Headache disorders,Rate,1990,441.8185306,954.676561,87.98244682
DALYs (Disability-Adjusted Life Years),Marshall Islands,Female,Age-standardized,Headache disorders,Rate,1990,670.0190702,1530.766782,107.9616684
DALYs (Disability-Adjusted Life Years),Marshall Islands,Both,Age-standardized,Headache disorders,Rate,1990,552.9149732,1236.549585,95.5464604
DALYs (Disability-Adjusted Life Years),Maldives,Male,Age-standardized,Headache disorders,Rate,1990,492.1524619,1092.334797,87.28113503
DALYs (Disability-Adjusted Life Years),Maldives,Female,Age-standardized,Headache disorders,Rate,1990,760.6800242,1806.145105,106.0100769
DALYs (Disability-Adjusted Life Years),Maldives,Both,Age-standardized,Headache disorders,Rate,1990,620.9424269,1420.326883,95.76057701
DALYs (Disability-Adjusted Life Years),Georgia,Male,Age-standardized,Headache disorders,Rate,1990,416.5266597,867.3442089,104.2902593
DALYs (Disability-Adjusted Life Years),Georgia,Female,Age-standardized,Headache disorders,Rate,1990,714.8763494,1510.3557,162.8962324
DALYs (Disability-Adjusted Life Years),Georgia,Both,Age-standardized,Headache disorders,Rate,1990,572.581915,1211.517476,134.8915661
DALYs (Disability-Adjusted Life Years),Malta,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1829.567826,2447.297037,1313.215208
DALYs (Disability-Adjusted Life Years),Malta,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,2497.655465,3304.518301,1793.56175
DALYs (Disability-Adjusted Life Years),Malta,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,2179.125024,2886.976023,1567.439603
DALYs (Disability-Adjusted Life Years),Uruguay,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1596.457338,2127.412,1140.978452
DALYs (Disability-Adjusted Life Years),Uruguay,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,2400.384643,3185.085687,1720.296685
DALYs (Disability-Adjusted Life Years),Uruguay,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,2021.252036,2684.414959,1452.737143
DALYs (Disability-Adjusted Life Years),Egypt,Male,Age-standardized,Headache disorders,Rate,1990,518.1486701,1116.782482,127.1718302
DALYs (Disability-Adjusted Life Years),Egypt,Female,Age-standardized,Headache disorders,Rate,1990,842.5505239,1858.73773,194.6315319
DALYs (Disability-Adjusted Life Years),Egypt,Both,Age-standardized,Headache disorders,Rate,1990,677.4361484,1483.113248,158.8866168
DALYs (Disability-Adjusted Life Years),Cyprus,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1832.733168,2471.416161,1295.671811
DALYs (Disability-Adjusted Life Years),Cyprus,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,2421.584643,3198.730794,1755.11357
DALYs (Disability-Adjusted Life Years),Cyprus,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,2132.895279,2834.834208,1534.118247
DALYs (Disability-Adjusted Life Years),Dominica,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1283.358386,1712.256407,915.4043763
DALYs (Disability-Adjusted Life Years),Dominica,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,1717.695894,2245.23536,1248.815041
DALYs (Disability-Adjusted Life Years),Dominica,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,1515.088247,1997.377274,1095.066595
DALYs (Disability-Adjusted Life Years),Bolivia (Plurinational State of),Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1296.68006,1716.122385,928.1724244
DALYs (Disability-Adjusted Life Years),Bolivia (Plurinational State of),Female,Age-standardized,Musculoskeletal disorders,Rate,1990,1721.637241,2251.755475,1248.341548
DALYs (Disability-Adjusted Life Years),Bolivia (Plurinational State of),Both,Age-standardized,Musculoskeletal disorders,Rate,1990,1519.381974,2007.164371,1099.829868
DALYs (Disability-Adjusted Life Years),Micronesia (Federated States of),Male,Age-standardized,Headache disorders,Rate,1990,440.9850252,953.5184939,87.5608264
DALYs (Disability-Adjusted Life Years),Micronesia (Federated States of),Female,Age-standardized,Headache disorders,Rate,1990,670.9599974,1513.579923,105.4038555
DALYs (Disability-Adjusted Life Years),Micronesia (Federated States of),Both,Age-standardized,Headache disorders,Rate,1990,553.3076561,1232.507641,95.59840552
DALYs (Disability-Adjusted Life Years),Kazakhstan,Male,Age-standardized,Headache disorders,Rate,1990,415.2642917,862.7650027,104.0933338
DALYs (Disability-Adjusted Life Years),Kazakhstan,Female,Age-standardized,Headache disorders,Rate,1990,709.628419,1512.855049,159.9694321
DALYs (Disability-Adjusted Life Years),Kazakhstan,Both,Age-standardized,Headache disorders,Rate,1990,567.8128245,1194.886899,133.9196895
DALYs (Disability-Adjusted Life Years),Saudi Arabia,Male,Age-standardized,Headache disorders,Rate,1990,525.1271391,1128.396171,128.798955
DALYs (Disability-Adjusted Life Years),Saudi Arabia,Female,Age-standardized,Headache disorders,Rate,1990,795.6355359,1753.95887,185.382619
DALYs (Disability-Adjusted Life Years),Saudi Arabia,Both,Age-standardized,Headache disorders,Rate,1990,632.1540471,1349.815135,152.2658371
DALYs (Disability-Adjusted Life Years),Denmark,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,2158.688678,2879.141989,1550.977201
