measure,location,sex,age,cause,metric,year,val
DALYs (Disability-Adjusted Life Years),Global,Male,All Ages,Musculoskeletal disorders,Number,1990,34596968.3
DALYs (Disability-Adjusted Life Years),Global,Female,All Ages,Musculoskeletal disorders,Number,1990,50006289.46
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Musculoskeletal disorders,Number,1990,84603257.76
DALYs (Disability-Adjusted Life Years),Global,Male,All Ages,Headache disorders,Number,1990,11127448.64
DALYs (Disability-Adjusted Life Years),Global,Female,All Ages,Headache disorders,Number,1990,18613999.89
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Headache disorders,Number,1990,29741448.53
DALYs (Disability-Adjusted Life Years),Global,Male,All Ages,Musculoskeletal disorders,Number,1992,35705043.05
DALYs (Disability-Adjusted Life Years),Global,Female,All Ages,Musculoskeletal disorders,Number,1992,51412268.04
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Musculoskeletal disorders,Number,1992,87117311.09
DALYs (Disability-Adjusted Life Years),Global,Male,All Ages,Headache disorders,Number,1992,11547235.86
DALYs (Disability-Adjusted Life Years),Global,Female,All Ages,Headache disorders,Number,1992,19277549.69
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Headache disorders,Number,1992,30824785.55
DALYs (Disability-Adjusted Life Years),Global,Male,All Ages,Musculoskeletal disorders,Number,1991,35147577.98
DALYs (Disability-Adjusted Life Years),Global,Female,All Ages,Musculoskeletal disorders,Number,1991,50693677.48
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Musculoskeletal disorders,Number,1991,85841255.46
DALYs (Disability-Adjusted Life Years),Global,Male,All Ages,Headache disorders,Number,1991,11336837.68
DALYs (Disability-Adjusted Life Years),Global,Female,All Ages,Headache disorders,Number,1991,18945336.33
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Headache disorders,Number,1991,30282174.02
DALYs (Disability-Adjusted Life Years),Global,Male,All Ages,Musculoskeletal disorders,Number,1995,37672105.56
DALYs (Disability-Adjusted Life Years),Global,Female,All Ages,Musculoskeletal disorders,Number,1995,54132700.28
